serial_timesteps,n_updates,fps,policy_entropy,explained_variance,clipfrac,time_elapsed,policy_loss,value_loss,total_timesteps,approxkl,ep_len_mean,ep_reward_mean
76608,2394,294,9.562937,-0.022825241088867188,0.203125,1570.3733851909637,-0.006445893,0.0010099136,306432,0.015942225,500.0,7027.628671720001
76640,2395,321,9.563333,0.00782477855682373,0.34570312,1570.8091843128204,0.007849261,0.0006644919,306560,0.03374005,500.0,7027.628671720001
76672,2396,295,9.5680065,-0.06772971153259277,0.26171875,1571.208090543747,-0.016487129,0.0007083105,306688,0.019594762,500.0,7027.628671720001
76704,2397,294,9.572809,-0.014434576034545898,0.3828125,1571.6424436569214,0.0035181814,0.0005986012,306816,0.04612853,500.0,7027.628671720001
76736,2398,289,9.576691,-0.017049670219421387,0.34375,1572.0782027244568,0.03519938,0.0004803162,306944,0.049592994,500.0,7027.628671720001
76768,2399,291,9.575084,-0.037357449531555176,0.26171875,1572.5207614898682,0.014844764,0.0003364123,307072,0.0226265,500.0,7027.628671720001
76800,2400,291,9.570827,-0.052542805671691895,0.48632812,1572.961213350296,0.045222875,0.0002669128,307200,0.09543038,500.0,7027.628671720001
76832,2401,266,9.570438,-0.03989982604980469,0.31835938,1573.4020900726318,0.0030787778,0.00030803552,307328,0.029141966,500.0,7027.628671720001
76864,2402,311,9.570772,-0.10696208477020264,0.52734375,1573.8842363357544,0.06669031,0.00017260697,307456,0.13436532,500.0,7027.628671720001
76896,2403,274,9.572641,-0.11643600463867188,0.33007812,1574.2951798439026,0.0207134,0.00011421775,307584,0.033115022,500.0,7027.628671720001
76928,2404,283,9.573197,-0.0487293004989624,0.43164062,1574.762181520462,0.009567532,0.00011658631,307712,0.06788894,500.0,7027.628671720001
76960,2405,306,9.569752,-0.11945819854736328,0.43359375,1575.2147319316864,0.083924666,9.239071e-05,307840,0.07056605,500.0,7027.628671720001
76992,2406,306,9.566092,-0.3278125524520874,0.17578125,1575.6332993507385,-0.00537867,3.4320623e-05,307968,0.013552463,500.0,7027.628671720001
77024,2407,34,9.56411,0.02524632215499878,0.37890625,1576.0532085895538,-0.0017008032,0.60614955,308096,0.06380964,500.0,7028.638105279999
77056,2408,316,9.563333,-0.013198614120483398,0.12890625,1579.7929511070251,0.006442692,0.0005610514,308224,0.009521791,500.0,7028.638105279999
77088,2409,310,9.554768,-0.026589512825012207,0.21875,1580.1975765228271,0.0097429175,0.0003875588,308352,0.015990017,500.0,7028.638105279999
77120,2410,314,9.550443,-0.024845600128173828,0.203125,1580.61035490036,-0.009432081,0.0002920149,308480,0.017950103,500.0,7028.638105279999
77152,2411,322,9.551733,-0.09694766998291016,0.2734375,1581.0183618068695,0.008526928,0.0002438149,308608,0.02344411,500.0,7028.638105279999
77184,2412,321,9.544807,-0.11667287349700928,0.4296875,1581.4162831306458,0.06463776,0.0001838344,308736,0.11140142,500.0,7028.638105279999
77216,2413,316,9.542277,-0.22970807552337646,0.28710938,1581.8156278133392,0.006758786,5.420862e-05,308864,0.023696844,500.0,7028.638105279999
77248,2414,330,9.540796,-0.06945204734802246,0.29101562,1582.2210404872894,1.0011718e-06,0.000106209045,308992,0.024660371,500.0,7028.638105279999
77280,2415,297,9.537302,-0.14126408100128174,0.26953125,1582.6088454723358,-0.004219309,4.7917147e-05,309120,0.023695938,500.0,7028.638105279999
77312,2416,304,9.533511,-0.08181977272033691,0.23828125,1583.040067911148,-0.008656906,0.00012334835,309248,0.02001268,500.0,7028.638105279999
77344,2417,286,9.529474,-0.1377105712890625,0.30859375,1583.4624552726746,-0.012594214,0.00010727999,309376,0.031553157,500.0,7028.638105279999
77376,2418,296,9.530037,-0.06610274314880371,0.24609375,1583.9104471206665,0.007390719,0.00015127349,309504,0.020364776,500.0,7028.638105279999
77408,2419,300,9.526563,-0.31870079040527344,0.28710938,1584.343534231186,0.00084712496,0.00012525519,309632,0.029293556,500.0,7028.638105279999
77440,2420,272,9.5238695,-0.16908514499664307,0.38867188,1584.770750284195,0.021347806,4.50578e-05,309760,0.058094077,500.0,7028.638105279999
77472,2421,261,9.520405,-0.25029075145721436,0.31640625,1585.2413775920868,-0.019283146,4.6288296e-05,309888,0.034257375,500.0,7028.638105279999
77504,2422,32,9.526053,0.03357696533203125,0.30273438,1585.7321922779083,0.020240193,0.8334339,310016,0.05829094,500.0,7020.309980169999
77536,2423,309,9.530539,-1.8748087882995605,0.3203125,1589.6893184185028,-0.014255796,0.003414817,310144,0.060486518,500.0,7020.309980169999
77568,2424,297,9.536104,0.003820180892944336,0.22070312,1590.1030974388123,0.013596283,0.0018176592,310272,0.021602763,500.0,7020.309980169999
77600,2425,317,9.5395775,0.00019866228103637695,0.27929688,1590.5348465442657,0.001187165,0.0012925137,310400,0.023522958,500.0,7020.309980169999
77632,2426,298,9.54256,0.0035886168479919434,0.24414062,1590.9390075206757,-0.0043872604,0.0012216087,310528,0.019643078,500.0,7020.309980169999
77664,2427,300,9.54554,0.0002974271774291992,0.28515625,1591.36811709404,0.031633347,0.001134466,310656,0.020459253,500.0,7020.309980169999
77696,2428,307,9.549036,0.011206626892089844,0.18945312,1591.7946162223816,0.010131668,0.0007742574,310784,0.022342872,500.0,7020.309980169999
77728,2429,301,9.559403,-0.05841696262359619,0.14257812,1592.2118003368378,0.0001689028,0.0006851953,310912,0.00956493,500.0,7020.309980169999
77760,2430,311,9.558725,0.0012403130531311035,0.28320312,1592.6368634700775,0.014038433,0.0006563653,311040,0.025620056,500.0,7020.309980169999
77792,2431,323,9.56166,0.002178192138671875,0.30664062,1593.0482494831085,0.005222656,0.0005640314,311168,0.021021273,500.0,7020.309980169999
77824,2432,291,9.566655,0.012435436248779297,0.265625,1593.4451313018799,-0.0064343633,0.00044483648,311296,0.018810524,500.0,7020.309980169999
77856,2433,287,9.566667,-0.0006979703903198242,0.30664062,1593.8856580257416,0.015122339,0.00032285234,311424,0.026303729,500.0,7020.309980169999
77888,2434,294,9.562498,0.0033006668090820312,0.29296875,1594.331072807312,0.013950186,0.00029178607,311552,0.022600453,500.0,7020.309980169999
77920,2435,263,9.558703,-0.00010395050048828125,0.18945312,1594.7662343978882,0.009232607,0.00022567932,311680,0.01474837,500.0,7020.309980169999
77952,2436,275,9.554008,0.0036800503730773926,0.37695312,1595.253695487976,0.0023551576,0.00014184175,311808,0.03679395,500.0,7020.309980169999
77984,2437,271,9.548258,-0.32861626148223877,0.5,1595.7193217277527,0.042272218,0.00015024854,311936,0.082573526,500.0,7020.309980169999
78016,2438,30,9.549534,0.005930602550506592,0.28125,1596.1914820671082,-0.00731059,0.7859759,312064,0.030145694,500.0,7018.465503439998
78048,2439,302,9.555981,-0.9951587915420532,0.15820312,1600.3815913200378,-0.02131158,0.0025912188,312192,0.081330344,500.0,7018.465503439998
78080,2440,308,9.567579,-0.0007966756820678711,0.19726562,1600.8048605918884,-0.001215598,0.00063069566,312320,0.015495427,500.0,7018.465503439998
78112,2441,299,9.574202,-0.0007807016372680664,0.32617188,1601.220683813095,0.011127395,0.000713904,312448,0.024331609,500.0,7018.465503439998
78144,2442,307,9.5679865,0.0010416507720947266,0.328125,1601.6484472751617,-0.0066129994,0.0004466506,312576,0.031185068,500.0,7018.465503439998
78176,2443,324,9.561574,-0.0036193132400512695,0.28515625,1602.0667548179626,0.0050639613,0.0004524376,312704,0.026805168,500.0,7018.465503439998
78208,2444,293,9.564988,-0.03386688232421875,0.265625,1602.4620547294617,0.0030500363,0.00045695846,312832,0.023509178,500.0,7018.465503439998
78240,2445,325,9.568962,-0.013808012008666992,0.37109375,1602.8984653949738,0.02783845,0.00036125415,312960,0.0398088,500.0,7018.465503439998
78272,2446,324,9.56743,-0.02082836627960205,0.12695312,1603.2922480106354,-0.0011566319,0.000277412,313088,0.009344948,500.0,7018.465503439998
78304,2447,316,9.567334,-0.014916181564331055,0.26171875,1603.687820672989,-0.0128508,0.00026954984,313216,0.019337727,500.0,7018.465503439998
78336,2448,322,9.562312,-0.000601649284362793,0.23046875,1604.0931615829468,-0.013621527,0.00015520406,313344,0.01720925,500.0,7018.465503439998
78368,2449,305,9.553253,-0.00016748905181884766,0.29882812,1604.491061925888,0.017584981,0.00026071732,313472,0.037596136,500.0,7018.465503439998
78400,2450,299,9.555356,-0.026421785354614258,0.28125,1604.911299943924,0.026564192,0.00019280198,313600,0.031992577,500.0,7018.465503439998
78432,2451,288,9.5528965,-0.01625370979309082,0.19921875,1605.3391585350037,-0.0021938598,0.000121216064,313728,0.014732797,500.0,7018.465503439998
78464,2452,281,9.542785,0.005564093589782715,0.41992188,1605.7842264175415,0.04554218,0.0001042132,313856,0.049907442,500.0,7018.465503439998
78496,2453,294,9.538412,-0.02220010757446289,0.24023438,1606.2401394844055,0.0033680676,0.00011227923,313984,0.020642787,500.0,7018.465503439998
78528,2454,33,9.5452,0.013123929500579834,0.38476562,1606.6749596595764,-0.017884418,0.3886444,314112,0.056811497,500.0,7016.24029172
78560,2455,306,9.55823,-0.0009168386459350586,0.23242188,1610.5397129058838,-0.0002957615,0.0015206339,314240,0.017163472,500.0,7016.24029172
78592,2456,284,9.56908,-0.0006159543991088867,0.18554688,1610.958235502243,-0.0004926225,0.00062638277,314368,0.013653285,500.0,7016.24029172
78624,2457,303,9.565335,0.0017875432968139648,0.171875,1611.4088666439056,0.006671219,0.0006117888,314496,0.014855957,500.0,7016.24029172
78656,2458,289,9.565345,-0.02187323570251465,0.3125,1611.8313648700714,-0.025494859,0.0004416876,314624,0.022738505,500.0,7016.24029172
78688,2459,309,9.566097,-0.004054665565490723,0.36132812,1612.2749648094177,0.030999368,0.00040909043,314752,0.03715892,500.0,7016.24029172
78720,2460,319,9.565432,0.010951995849609375,0.30273438,1612.689415693283,0.018824108,0.0004041799,314880,0.04007501,500.0,7016.24029172
78752,2461,319,9.565923,-0.011118531227111816,0.31445312,1613.0908238887787,-0.0027003218,0.0003303438,315008,0.0316112,500.0,7016.24029172
78784,2462,328,9.571428,0.011251986026763916,0.2421875,1613.49232172966,0.0001458847,0.00022058045,315136,0.020257723,500.0,7016.24029172
78816,2463,317,9.580941,0.01943659782409668,0.40429688,1613.882178068161,0.037177306,0.00024658587,315264,0.05456208,500.0,7016.24029172
78848,2464,307,9.582856,-0.007041573524475098,0.3359375,1614.2868475914001,0.024755104,0.00017603942,315392,0.031754233,500.0,7016.24029172
78880,2465,320,9.577955,-0.008336424827575684,0.2265625,1614.7038142681122,0.025221279,0.00016457401,315520,0.026023678,500.0,7016.24029172
78912,2466,303,9.573614,-0.2206404209136963,0.31445312,1615.103819847107,0.0005382558,0.00015553857,315648,0.024598867,500.0,7016.24029172
78944,2467,308,9.570089,-0.011643767356872559,0.25390625,1615.5262823104858,-0.016210038,0.00010799997,315776,0.017867416,500.0,7016.24029172
78976,2468,309,9.561235,-0.0032204389572143555,0.20898438,1615.9420228004456,0.009486701,8.2401835e-05,315904,0.016097143,500.0,7016.24029172
79008,2469,30,9.558478,0.026691555976867676,0.47460938,1616.3566377162933,-0.011405152,0.88142157,316032,0.09221254,500.0,7021.775645719999
79040,2470,298,9.564667,-0.2983264923095703,0.2734375,1620.6046471595764,-0.013587685,0.00347207,316160,0.06428854,500.0,7021.775645719999
79072,2471,313,9.5676155,0.003681361675262451,0.36914062,1621.0347561836243,0.00014515407,0.00096744834,316288,0.03282456,500.0,7021.775645719999
79104,2472,310,9.570722,0.0004311800003051758,0.19335938,1621.4453637599945,-0.0038470784,0.00063448126,316416,0.011105673,500.0,7021.775645719999
79136,2473,286,9.567542,0.0007955431938171387,0.30664062,1621.8588721752167,0.013525522,0.00064650807,316544,0.030511547,500.0,7021.775645719999
79168,2474,281,9.563242,-0.017934322357177734,0.20507812,1622.3056900501251,0.008190269,0.0007971653,316672,0.016167488,500.0,7021.775645719999
79200,2475,300,9.558351,0.009729266166687012,0.20703125,1622.760575056076,-0.008676331,0.00053778605,316800,0.01534272,500.0,7021.775645719999
79232,2476,298,9.557301,-0.0012760162353515625,0.23828125,1623.1877381801605,-0.021653112,0.0004221484,316928,0.018724259,500.0,7021.775645719999
79264,2477,296,9.55961,-0.001979827880859375,0.3515625,1623.6180369853973,0.013577947,0.0003087283,317056,0.03635176,500.0,7021.775645719999
79296,2478,297,9.564785,-0.5702089071273804,0.30078125,1624.050726890564,0.0056964094,0.00012757776,317184,0.0335345,500.0,7021.775645719999
79328,2479,309,9.565231,-0.03959178924560547,0.30273438,1624.4814717769623,0.0017251726,7.119042e-05,317312,0.032720372,500.0,7021.775645719999
79360,2480,319,9.567333,-0.0029507875442504883,0.25,1624.896980524063,-0.0072432924,0.00014872171,317440,0.016299719,500.0,7021.775645719999
79392,2481,308,9.565754,0.003235042095184326,0.13867188,1625.298062324524,-0.012157501,6.674678e-05,317568,0.010129559,500.0,7021.775645719999
79424,2482,311,9.563373,-0.028099894523620605,0.3984375,1625.7139613628387,-0.00013719755,9.945576e-05,317696,0.08623454,500.0,7021.775645719999
79456,2483,321,9.561563,-0.18770647048950195,0.21289062,1626.1251940727234,-0.015804963,8.817579e-05,317824,0.01233833,500.0,7021.775645719999
79488,2484,326,9.566593,-0.45337986946105957,0.24414062,1626.5240731239319,-0.028516553,6.751322e-05,317952,0.02217338,500.0,7021.775645719999
79520,2485,32,9.570609,0.009851336479187012,0.265625,1626.9171087741852,-0.011063552,0.70484674,318080,0.025759919,500.0,7017.301742070001
79552,2486,280,9.56756,-0.3234419822692871,0.25,1630.8263530731201,0.008328682,0.0026542228,318208,0.025177898,500.0,7017.301742070001
79584,2487,308,9.569954,-0.015762686729431152,0.3203125,1631.2837047576904,0.013801765,0.000670932,318336,0.034870323,500.0,7017.301742070001
79616,2488,302,9.578108,-0.001208186149597168,0.26171875,1631.7008156776428,0.03385756,0.00067367096,318464,0.026276184,500.0,7017.301742070001
79648,2489,319,9.594357,-6.687641143798828e-05,0.15039062,1632.1250920295715,-0.0054645566,0.000507584,318592,0.012324314,500.0,7017.301742070001
79680,2490,302,9.6082,-0.006215453147888184,0.43945312,1632.5263197422028,0.026212635,0.0006115341,318720,0.07465954,500.0,7017.301742070001
79712,2491,309,9.60941,0.00785154104232788,0.34375,1632.949506521225,0.006241066,0.00047483275,318848,0.030357314,500.0,7017.301742070001
79744,2492,318,9.611414,-0.005689263343811035,0.47460938,1633.3636910915375,0.020397529,0.00045720668,318976,0.064097494,500.0,7017.301742070001
79776,2493,291,9.614,-0.00463712215423584,0.43945312,1633.7677664756775,0.02880121,0.00044845985,319104,0.053800628,500.0,7017.301742070001
79808,2494,294,9.618602,0.0038228631019592285,0.26367188,1634.2078964710236,-0.0003985893,0.00039018737,319232,0.022037975,500.0,7017.301742070001
79840,2495,295,9.629582,-0.08866095542907715,0.5292969,1634.643470287323,0.050243527,0.00031623483,319360,0.10695349,500.0,7017.301742070001
79872,2496,286,9.630512,-0.005280852317810059,0.33007812,1635.0774669647217,0.022275269,0.00023888322,319488,0.031997,500.0,7017.301742070001
79904,2497,294,9.630789,-0.01963520050048828,0.26171875,1635.5246231555939,-0.01146955,0.00014265042,319616,0.023134721,500.0,7017.301742070001
79936,2498,300,9.6355505,-0.05209922790527344,0.41992188,1635.9597926139832,0.023836995,0.00013460823,319744,0.0457663,500.0,7017.301742070001
79968,2499,310,9.642524,-0.0028992891311645508,0.5,1636.3872787952423,0.071197845,9.568951e-05,319872,0.087167494,500.0,7017.301742070001
80000,2500,33,9.652474,-0.0001990795135498047,0.19335938,1636.8002479076385,-0.0013955833,0.8468129,320000,0.012252262,500.0,7014.8257033499995
80032,2501,298,9.665929,-0.947264552116394,0.3515625,1640.6562852859497,-0.03157025,0.0054930416,320128,0.09853062,500.0,7014.8257033499995
80064,2502,275,9.678652,-0.0018351078033447266,0.27148438,1641.0860924720764,-0.007035073,0.002351466,320256,0.023514278,500.0,7014.8257033499995
80096,2503,281,9.684193,0.005283653736114502,0.25976562,1641.5520751476288,-0.0049808407,0.0011026325,320384,0.019960342,500.0,7014.8257033499995
80128,2504,313,9.686186,-0.0054923295974731445,0.16601562,1642.0079982280731,0.01924819,0.0011213459,320512,0.028213289,500.0,7014.8257033499995
80160,2505,306,9.689371,-0.012857675552368164,0.43554688,1642.416424036026,0.030752838,0.0009877605,320640,0.06620042,500.0,7014.8257033499995
80192,2506,318,9.693186,-0.008859395980834961,0.2890625,1642.8352146148682,0.005896685,0.0007013322,320768,0.023519728,500.0,7014.8257033499995
80224,2507,307,9.7016,-0.011376023292541504,0.27734375,1643.2373101711273,-0.018534191,0.0005511297,320896,0.02903667,500.0,7014.8257033499995
80256,2508,321,9.70278,-0.020218968391418457,0.26953125,1643.6542384624481,0.004599572,0.00040454412,321024,0.037366703,500.0,7014.8257033499995
80288,2509,281,9.699131,-0.02080988883972168,0.26171875,1644.05326461792,0.014735887,0.00026607641,321152,0.023493556,500.0,7014.8257033499995
80320,2510,293,9.698198,-0.04460132122039795,0.2421875,1644.5088019371033,-0.001737874,0.00025182145,321280,0.018544422,500.0,7014.8257033499995
80352,2511,303,9.69726,-0.02932417392730713,0.23632812,1644.9473237991333,0.017968893,0.00017637483,321408,0.033022564,500.0,7014.8257033499995
80384,2512,310,9.698307,-0.15690672397613525,0.3359375,1645.3693249225616,0.019174164,0.0001462117,321536,0.029286114,500.0,7014.8257033499995
80416,2513,308,9.698657,-0.043007731437683105,0.32226562,1645.782326221466,0.019650213,8.984755e-05,321664,0.03391624,500.0,7014.8257033499995
80448,2514,313,9.700482,-0.20701932907104492,0.18554688,1646.1979002952576,0.008758569,6.499885e-05,321792,0.016437067,500.0,7014.8257033499995
80480,2515,321,9.701406,-0.10740852355957031,0.31054688,1646.6070985794067,-0.0068393033,5.0176885e-05,321920,0.027835473,500.0,7014.8257033499995
80512,2516,30,9.703437,-0.027930021286010742,0.5449219,1647.0055396556854,0.03825061,0.85181487,322048,0.13372408,500.0,7018.751308620001
80544,2517,299,9.701297,-0.14214742183685303,0.578125,1651.1387920379639,0.039592374,0.0027844706,322176,0.11943744,500.0,7018.751308620001
80576,2518,287,9.700772,0.002846658229827881,0.24414062,1651.5673654079437,-0.023957795,0.0013744263,322304,0.018741736,500.0,7018.751308620001
80608,2519,303,9.703521,0.0008134245872497559,0.26367188,1652.0133123397827,-0.012730183,0.0009328113,322432,0.017076513,500.0,7018.751308620001
80640,2520,304,9.705392,-0.0009750127792358398,0.24023438,1652.438260793686,-0.0098508615,0.0009595695,322560,0.019984132,500.0,7018.751308620001
80672,2521,298,9.704737,0.00022071599960327148,0.25195312,1652.8592274188995,0.00052311085,0.0007115565,322688,0.027632298,500.0,7018.751308620001
80704,2522,311,9.710471,-0.0015912055969238281,0.17382812,1653.2892863750458,0.0041631167,0.0005314599,322816,0.014318014,500.0,7018.751308620001
80736,2523,309,9.715689,-0.002073526382446289,0.119140625,1653.7010803222656,0.005695796,0.00039892027,322944,0.00872852,500.0,7018.751308620001
80768,2524,310,9.714956,0.00029093027114868164,0.24414062,1654.1153528690338,-0.0045122746,0.00032627204,323072,0.018877082,500.0,7018.751308620001
80800,2525,288,9.713947,-0.021409034729003906,0.28710938,1654.5276556015015,0.011009537,0.00022798408,323200,0.02765182,500.0,7018.751308620001
80832,2526,298,9.710813,-0.0003236532211303711,0.20898438,1654.971732378006,0.0003385374,0.00025480147,323328,0.015613572,500.0,7018.751308620001
80864,2527,293,9.708754,-0.029640674591064453,0.3203125,1655.4015307426453,0.019583143,0.00017372491,323456,0.049486533,500.0,7018.751308620001
80896,2528,289,9.712341,-0.9214198589324951,0.2265625,1655.8377747535706,0.0009956779,0.00014724128,323584,0.028666092,500.0,7018.751308620001
80928,2529,289,9.71829,-0.10381424427032471,0.265625,1656.2831192016602,0.01012484,0.00011431376,323712,0.021747738,500.0,7018.751308620001
80960,2530,289,9.721517,-0.011626720428466797,0.30664062,1656.7258517742157,0.0241594,0.000102828635,323840,0.028342001,500.0,7018.751308620001
80992,2531,285,9.722723,-0.013346195220947266,0.5097656,1657.169729232788,0.049769014,0.00012515819,323968,0.13804679,500.0,7018.751308620001
81024,2532,32,9.723479,0.016097605228424072,0.27929688,1657.6197574138641,0.006701986,0.6083949,324096,0.033781327,500.0,7020.634243009999
81056,2533,301,9.724632,-0.009317636489868164,0.5703125,1661.5595362186432,0.06987139,0.002085862,324224,0.13633916,500.0,7020.634243009999
81088,2534,296,9.724005,-0.010263800621032715,0.36328125,1661.9841685295105,0.071167454,0.00084639754,324352,0.05856786,500.0,7020.634243009999
81120,2535,302,9.722192,-0.005753636360168457,0.31640625,1662.416795015335,0.016067915,0.00061116175,324480,0.055930145,500.0,7020.634243009999
81152,2536,303,9.723641,-0.01720571517944336,0.49414062,1662.8400599956512,0.03879872,0.00046406084,324608,0.057924878,500.0,7020.634243009999
81184,2537,319,9.728116,-0.2321932315826416,0.28515625,1663.2626423835754,0.005714808,0.00032975982,324736,0.03023585,500.0,7020.634243009999
81216,2538,317,9.728917,-0.9256565570831299,0.19726562,1663.6640603542328,-0.011608334,0.0003933806,324864,0.021906428,500.0,7020.634243009999
81248,2539,315,9.727505,-0.03557872772216797,0.09375,1664.0678901672363,-0.0031131427,0.0003345077,324992,0.010737785,500.0,7020.634243009999
81280,2540,295,9.729236,-0.12547767162322998,0.3125,1664.4739372730255,0.0069239275,0.00020165041,325120,0.028998878,500.0,7020.634243009999
81312,2541,304,9.734581,-0.005913376808166504,0.19140625,1664.907743215561,0.0063793445,0.00014331246,325248,0.022727154,500.0,7020.634243009999
81344,2542,315,9.730749,-0.005781412124633789,0.1484375,1665.3290331363678,-0.0148245925,0.00018037063,325376,0.011569795,500.0,7020.634243009999
81376,2543,291,9.726569,-0.04786562919616699,0.22851562,1665.7356114387512,-0.010947576,0.000117484786,325504,0.017987557,500.0,7020.634243009999
81408,2544,294,9.719526,0.0019205212593078613,0.31835938,1666.1758811473846,-0.010470976,7.976006e-05,325632,0.03169598,500.0,7020.634243009999
81440,2545,259,9.719587,-0.13242125511169434,0.32617188,1666.6110186576843,0.0014018873,8.383626e-05,325760,0.031093262,500.0,7020.634243009999
81472,2546,308,9.71783,-0.06240546703338623,0.33007812,1667.1067426204681,0.0068856655,0.00020177946,325888,0.06149414,500.0,7020.634243009999
81504,2547,32,9.716925,0.0064182281494140625,0.2890625,1667.5224161148071,0.0040503843,0.89374113,326016,0.038115032,500.0,7020.587683549999
81536,2548,314,9.715717,-0.9031825065612793,0.2578125,1671.4524402618408,-0.025389634,0.0037093183,326144,0.053909402,500.0,7020.587683549999
81568,2549,309,9.718912,-0.11516308784484863,0.19726562,1671.860876083374,-0.00064884487,0.0013404519,326272,0.013299807,500.0,7020.587683549999
81600,2550,300,9.725681,0.011932432651519775,0.2890625,1672.2764401435852,0.0073487097,0.001198171,326400,0.028775752,500.0,7020.587683549999
81632,2551,294,9.728071,-0.5911232233047485,0.115234375,1672.703446149826,-0.019429523,0.0009179667,326528,0.013956626,500.0,7020.587683549999
81664,2552,281,9.726238,0.0004569888114929199,0.28515625,1673.1389980316162,-0.010653471,0.0008544204,326656,0.021704044,500.0,7020.587683549999
81696,2553,269,9.723955,0.007584214210510254,0.32226562,1673.5955040454865,0.009368208,0.00067620794,326784,0.03201671,500.0,7020.587683549999
81728,2554,294,9.725077,-0.4011662006378174,0.34375,1674.071994304657,0.0012158714,0.0011357849,326912,0.027704388,500.0,7020.587683549999
81760,2555,298,9.723441,-0.2744905948638916,0.234375,1674.5079591274261,-0.010014589,0.00040860474,327040,0.020683916,500.0,7020.587683549999
81792,2556,275,9.722915,-0.7641363143920898,0.29296875,1674.9378452301025,-0.021134354,0.00036721298,327168,0.053469088,500.0,7020.587683549999
81824,2557,284,9.731357,0.002156555652618408,0.26171875,1675.4041261672974,0.003548624,0.000359827,327296,0.02065974,500.0,7020.587683549999
81856,2558,289,9.733882,-1.443446397781372,0.25585938,1675.8551878929138,-0.0015903153,0.0003383072,327424,0.047583688,500.0,7020.587683549999
81888,2559,320,9.736272,-0.038004279136657715,0.19335938,1676.2975316047668,-0.0017708126,0.00014157555,327552,0.013147013,500.0,7020.587683549999
81920,2560,307,9.737607,-0.26071035861968994,0.33203125,1676.6975710391998,-0.012400631,0.00021650495,327680,0.041005377,500.0,7020.587683549999
81952,2561,307,9.732635,-0.023230910301208496,0.23632812,1677.115231513977,0.0241735,0.00013899906,327808,0.022253152,500.0,7020.587683549999
81984,2562,298,9.723414,0.0182114839553833,0.34570312,1677.5317454338074,0.006509346,6.058403e-05,327936,0.048831034,500.0,7020.587683549999
82016,2563,29,9.722285,-0.0006108283996582031,0.40820312,1677.9610121250153,0.014529741,0.8064995,328064,0.056188345,500.0,7020.420022260001
82048,2564,268,9.724438,-0.09864974021911621,0.1875,1682.2874777317047,-0.00931049,0.0029179673,328192,0.014427074,500.0,7020.420022260001
82080,2565,307,9.728265,-0.06323051452636719,0.390625,1682.765828371048,0.026739499,0.0005273119,328320,0.060147777,500.0,7020.420022260001
82112,2566,289,9.727516,-0.04940629005432129,0.4609375,1683.1828525066376,0.04700469,0.0007871507,328448,0.06158559,500.0,7020.420022260001
82144,2567,269,9.722867,-0.17104601860046387,0.17773438,1683.6248621940613,0.0014039099,0.0007606365,328576,0.01595284,500.0,7020.420022260001
82176,2568,292,9.720238,-0.0001266002655029297,0.24609375,1684.1007192134857,0.018894995,0.00035898137,328704,0.027022697,500.0,7020.420022260001
82208,2569,282,9.719286,-0.238927960395813,0.26757812,1684.5389428138733,-0.010201824,0.0004090773,328832,0.02640849,500.0,7020.420022260001
82240,2570,268,9.719264,-0.7278326749801636,0.33398438,1684.9942739009857,-0.021961002,0.0007391731,328960,0.053553976,500.0,7020.420022260001
82272,2571,309,9.719217,-0.2960706949234009,0.21289062,1685.471301317215,-0.012259647,0.0004435814,329088,0.014452336,500.0,7020.420022260001
82304,2572,303,9.718835,-0.07927775382995605,0.31054688,1685.8877902030945,-0.002277085,0.0003035909,329216,0.032735,500.0,7020.420022260001
82336,2573,308,9.726211,-0.010075211524963379,0.19921875,1686.3104593753815,-0.0006226646,0.00023031348,329344,0.018668085,500.0,7020.420022260001
82368,2574,329,9.736306,-0.017948389053344727,0.25976562,1686.7255651950836,-0.011856375,0.00023703527,329472,0.021985728,500.0,7020.420022260001
82400,2575,308,9.740706,-0.16867494583129883,0.40820312,1687.1155824661255,0.026189506,0.00030950335,329600,0.046452086,500.0,7020.420022260001
82432,2576,313,9.740455,-0.04219019412994385,0.28320312,1687.5318105220795,-0.0031396286,0.00019818067,329728,0.042188775,500.0,7020.420022260001
82464,2577,329,9.743198,-0.03844177722930908,0.34570312,1687.9405753612518,0.023539973,0.00014278675,329856,0.043907616,500.0,7020.420022260001
82496,2578,305,9.743449,-0.11825203895568848,0.2578125,1688.3293220996857,-0.006409562,0.000119642216,329984,0.020975089,500.0,7020.420022260001
82528,2579,32,9.741313,0.011157512664794922,0.16015625,1688.7514157295227,0.007975107,0.38396907,330112,0.01529272,500.0,7014.83589495
82560,2580,317,9.741422,0.010328352451324463,0.10546875,1692.6425430774689,-0.0016578393,0.0021850613,330240,0.008451622,500.0,7014.83589495
82592,2581,320,9.748883,-0.006250619888305664,0.265625,1693.046474456787,-0.002370607,0.0005708967,330368,0.03280745,500.0,7014.83589495
82624,2582,308,9.755196,0.004108130931854248,0.3828125,1693.4465272426605,0.037467465,0.00065833214,330496,0.05427605,500.0,7014.83589495
82656,2583,308,9.762938,-0.03879284858703613,0.45507812,1693.8625009059906,0.046842713,0.0004429904,330624,0.07103972,500.0,7014.83589495
82688,2584,299,9.769143,0.0021949410438537598,0.35546875,1694.279049873352,0.0351296,0.0004939617,330752,0.030012948,500.0,7014.83589495
82720,2585,284,9.769896,0.007366657257080078,0.34960938,1694.707703113556,0.05538697,0.00032268508,330880,0.04785786,500.0,7014.83589495
